challenger,model,market,incumbent,comparable_events,availability_pct,last20_rate,last10_rate,incumbent_last20_rate,advantage_pp,cost_acceptable,promotion,decision
Kimi K3,moonshotai/kimi-k2,ou25,Perplexity-Web,0,45.16,,,,,,False,échantillon insuffisant
Kimi K3,moonshotai/kimi-k2,ou25,DeepSeek-V3,0,45.16,,,,,,False,échantillon insuffisant
Kimi K3,moonshotai/kimi-k2,ou25,Mistral-Large,0,45.16,,,,,,False,échantillon insuffisant
Kimi K3,moonshotai/kimi-k2,ou25,Cohere-Command,0,45.16,,,,,,False,échantillon insuffisant
Kimi K3,moonshotai/kimi-k2,ou25,OpenRouter-Qwen,0,45.16,,,,,,False,échantillon insuffisant
GPT-5.2,openai/gpt-5.2,ou25,Perplexity-Web,0,22.58,,,,,,False,échantillon insuffisant
GPT-5.2,openai/gpt-5.2,ou25,DeepSeek-V3,0,22.58,,,,,,False,échantillon insuffisant
GPT-5.2,openai/gpt-5.2,ou25,Mistral-Large,0,22.58,,,,,,False,échantillon insuffisant
GPT-5.2,openai/gpt-5.2,ou25,Cohere-Command,0,22.58,,,,,,False,échantillon insuffisant
GPT-5.2,openai/gpt-5.2,ou25,OpenRouter-Qwen,0,22.58,,,,,,False,échantillon insuffisant
Claude Sonnet 5,anthropic/claude-sonnet-5,ou25,Perplexity-Web,0,77.42,,,,,,False,échantillon insuffisant
Claude Sonnet 5,anthropic/claude-sonnet-5,ou25,DeepSeek-V3,0,77.42,,,,,,False,échantillon insuffisant
Claude Sonnet 5,anthropic/claude-sonnet-5,ou25,Mistral-Large,0,77.42,,,,,,False,échantillon insuffisant
Claude Sonnet 5,anthropic/claude-sonnet-5,ou25,Cohere-Command,0,77.42,,,,,,False,échantillon insuffisant
Claude Sonnet 5,anthropic/claude-sonnet-5,ou25,OpenRouter-Qwen,0,77.42,,,,,,False,échantillon insuffisant
Gemini 3.7 Flash,google/gemini-3.7-flash,ou25,Perplexity-Web,0,0.0,,,,,,False,échantillon insuffisant
Gemini 3.7 Flash,google/gemini-3.7-flash,ou25,DeepSeek-V3,0,0.0,,,,,,False,échantillon insuffisant
Gemini 3.7 Flash,google/gemini-3.7-flash,ou25,Mistral-Large,0,0.0,,,,,,False,échantillon insuffisant
Gemini 3.7 Flash,google/gemini-3.7-flash,ou25,Cohere-Command,0,0.0,,,,,,False,échantillon insuffisant
Gemini 3.7 Flash,google/gemini-3.7-flash,ou25,OpenRouter-Qwen,0,0.0,,,,,,False,échantillon insuffisant
DeepSeek V4 Pro,deepseek/deepseek-v4-pro-0813,ou25,Perplexity-Web,0,19.35,,,,,,False,échantillon insuffisant
DeepSeek V4 Pro,deepseek/deepseek-v4-pro-0813,ou25,DeepSeek-V3,0,19.35,,,,,,False,échantillon insuffisant
DeepSeek V4 Pro,deepseek/deepseek-v4-pro-0813,ou25,Mistral-Large,0,19.35,,,,,,False,échantillon insuffisant
DeepSeek V4 Pro,deepseek/deepseek-v4-pro-0813,ou25,Cohere-Command,0,19.35,,,,,,False,échantillon insuffisant
DeepSeek V4 Pro,deepseek/deepseek-v4-pro-0813,ou25,OpenRouter-Qwen,0,19.35,,,,,,False,échantillon insuffisant
Grok 4.6,x-ai/grok-4.6,ou25,Perplexity-Web,0,100.0,,,,,,False,échantillon insuffisant
Grok 4.6,x-ai/grok-4.6,ou25,DeepSeek-V3,0,100.0,,,,,,False,échantillon insuffisant
Grok 4.6,x-ai/grok-4.6,ou25,Mistral-Large,0,100.0,,,,,,False,échantillon insuffisant
Grok 4.6,x-ai/grok-4.6,ou25,Cohere-Command,0,100.0,,,,,,False,échantillon insuffisant
Grok 4.6,x-ai/grok-4.6,ou25,OpenRouter-Qwen,0,100.0,,,,,,False,échantillon insuffisant
GLM 5.3 Flash,z-ai/glm-5.3-flash,ou25,Perplexity-Web,0,0.0,,,,,,False,échantillon insuffisant
GLM 5.3 Flash,z-ai/glm-5.3-flash,ou25,DeepSeek-V3,0,0.0,,,,,,False,échantillon insuffisant
GLM 5.3 Flash,z-ai/glm-5.3-flash,ou25,Mistral-Large,0,0.0,,,,,,False,échantillon insuffisant
GLM 5.3 Flash,z-ai/glm-5.3-flash,ou25,Cohere-Command,0,0.0,,,,,,False,échantillon insuffisant
GLM 5.3 Flash,z-ai/glm-5.3-flash,ou25,OpenRouter-Qwen,0,0.0,,,,,,False,échantillon insuffisant
Qwen 3.8 Max,qwen/qwen3.8-max,ou25,Perplexity-Web,0,0.0,,,,,,False,échantillon insuffisant
Qwen 3.8 Max,qwen/qwen3.8-max,ou25,DeepSeek-V3,0,0.0,,,,,,False,échantillon insuffisant
Qwen 3.8 Max,qwen/qwen3.8-max,ou25,Mistral-Large,0,0.0,,,,,,False,échantillon insuffisant
Qwen 3.8 Max,qwen/qwen3.8-max,ou25,Cohere-Command,0,0.0,,,,,,False,échantillon insuffisant
Qwen 3.8 Max,qwen/qwen3.8-max,ou25,OpenRouter-Qwen,0,0.0,,,,,,False,échantillon insuffisant
